app_id,app_name,business_owner,criticality,users,tech_stack,db_engine,internet_facing,compliance_scope,disposition,complexity,wave
app-01,Ecommerce Storefront,K. Nguyen (Digital Channels),1,210000,Apache HTTPD 2.4 / PHP 7.4; HAProxy 2.4; NGINX 1.20 / Node.js 18; Oracle Database 19c; PostgreSQL 13; RabbitMQ 3.9; Spring Boot / OpenJDK 17,Oracle 19c,1,PCI-DSS,,,
app-02,Payment Gateway,R. Gomez (Supply Chain IT),1,,MySQL 5.7; PostgreSQL 13; RabbitMQ 3.9,PostgreSQL 13,1,PCI-DSS,,,
app-03,Order Management System,L. Andersson (Corporate IT),1,1800,BizTalk Server 2016; IIS 10 / .NET Framework 4.8; IIS 10 / ASP.NET Core 6; SQL Server 2019 Enterprise; Windows Service / .NET Framework 4.7.2,SQL Server 2019,0,SOX,,,
app-04,Warehouse Management,K. Nguyen (Digital Channels),1,950,Apache Tomcat 9 / OpenJDK 11; HAProxy 2.4; MongoDB 4.4; MySQL 5.7; NGINX 1.20 / Node.js 18,MongoDB 4.4,0,None,,,
app-05,Customer Portal,M. Rossi (Finance Systems),2,84000,Apache Tomcat 9 / OpenJDK 11; MongoDB 4.4; MySQL 5.7; NGINX 1.20 / Node.js 18; RabbitMQ 3.9; Spring Boot / OpenJDK 17,MySQL 5.7,1,GDPR,,,
app-06,CRM (Dynamics),J. Kim (Security Engineering),2,1200,IIS 10 / .NET Framework 4.8; IIS 10 / ASP.NET Core 6; SQL Server 2019 Enterprise; Windows Service / .NET Framework 4.7.2,SQL Server 2019,0,GDPR,,,
app-07,ERP (SAP ECC),S. Patel (Data & Analytics),1,2400,Apache HTTPD 2.4 / PHP 7.4; HAProxy 2.4; Oracle Database 19c; PostgreSQL 13; RabbitMQ 3.9; Spring Boot / OpenJDK 17,Oracle 19c,0,SOX,,,
app-08,Business Intelligence,R. Gomez (Supply Chain IT),2,600,IIS 10 / ASP.NET Core 6; SQL Server 2016 Standard; SQL Server 2019 Enterprise,SQL Server 2019,0,SOX,,,
app-09,Data Lake Ingest,J. Kim (Security Engineering),3,40,Apache HTTPD 2.4 / PHP 7.4; HAProxy 2.4; Oracle Database 19c; PostgreSQL 13; RabbitMQ 3.9; Spring Boot / OpenJDK 17,Oracle 19c,0,None,,,
app-10,HR Self-Service,J. Kim (Security Engineering),2,5200,IIS 10 / .NET Framework 4.8; IIS 10 / ASP.NET Core 6; Microsoft SharePoint 2016; Windows Service / .NET Framework 4.7.2,SQL Server 2016,1,HIPAA,,,
app-11,Payroll,T. Brown (HR Technology),1,120,BizTalk Server 2016; IIS 10 / .NET Framework 4.8; IIS 10 / ASP.NET Core 6; Microsoft SharePoint 2016,SQL Server 2016,0,SOX,,,
app-12,Corporate Website (CMS),J. Kim (Security Engineering),3,300000,HAProxy 2.4; PostgreSQL 13; Spring Boot / OpenJDK 17,PostgreSQL 13,1,None,,,
app-13,Email Security Gateway,L. Andersson (Corporate IT),2,,HAProxy 2.4; NGINX 1.20 / Node.js 18; Spring Boot / OpenJDK 17,,1,None,,,
app-14,Identity Provider (ADFS),T. Brown (HR Technology),1,,IIS 10 / .NET Framework 4.8; Windows Service / .NET Framework 4.7.2,,1,None,,,
app-15,VPN / Remote Access,T. Brown (HR Technology),1,4500,HAProxy 2.4; Spring Boot / OpenJDK 17,,1,None,,,
app-16,Document Management,R. Gomez (Supply Chain IT),3,3800,BizTalk Server 2016; IIS 10 / ASP.NET Core 6; SQL Server 2019 Enterprise; Windows Service / .NET Framework 4.7.2,SQL Server 2019,0,GDPR,,,
app-17,Contact Centre Platform,R. Gomez (Supply Chain IT),1,900,Apache HTTPD 2.4 / PHP 7.4; Apache Tomcat 9 / OpenJDK 11; HAProxy 2.4; Oracle Database 19c; PostgreSQL 13; RabbitMQ 3.9; Spring Boot / OpenJDK 17,PostgreSQL 13,0,PCI-DSS,,,
app-18,Marketing Automation,L. Andersson (Corporate IT),3,220,Apache HTTPD 2.4 / PHP 7.4; HAProxy 2.4; MongoDB 4.4; NGINX 1.20 / Node.js 18,MongoDB 4.4,1,GDPR,,,
app-19,Inventory Forecasting,R. Gomez (Supply Chain IT),3,60,HAProxy 2.4; NGINX 1.20 / Node.js 18; Oracle Database 19c,Oracle 19c,0,None,,,
app-20,Fraud Detection,T. Brown (HR Technology),1,,Apache Tomcat 9 / OpenJDK 11; HAProxy 2.4; MySQL 5.7; PostgreSQL 13; RabbitMQ 3.9,PostgreSQL 13,0,PCI-DSS,,,
app-21,Partner API Platform,J. Kim (Security Engineering),2,,Apache Tomcat 9 / OpenJDK 11; HAProxy 2.4; NGINX 1.20 / Node.js 18; PostgreSQL 13; Spring Boot / OpenJDK 17,PostgreSQL 13,1,None,,,
app-22,Legacy Billing (Mainframe offload),M. Rossi (Finance Systems),2,80,BizTalk Server 2016; IIS 10 / ASP.NET Core 6,SQL Server 2016,0,SOX,,,
app-23,Field Service Mobile Backend,R. Gomez (Supply Chain IT),2,1700,HAProxy 2.4; Oracle Database 19c; Spring Boot / OpenJDK 17,Oracle 19c,1,None,,,
app-24,Procurement Portal,L. Andersson (Corporate IT),3,640,IIS 10 / .NET Framework 4.8; IIS 10 / ASP.NET Core 6; Microsoft SharePoint 2016,SQL Server 2016,0,SOX,,,
app-25,Learning Management,M. Rossi (Finance Systems),4,9000,Apache HTTPD 2.4 / PHP 7.4; Apache Tomcat 9 / OpenJDK 11; MySQL 5.7; Spring Boot / OpenJDK 17,MySQL 5.7,1,None,,,
app-26,Facilities / IoT Gateway,J. Kim (Security Engineering),4,30,HAProxy 2.4; MongoDB 4.4; Spring Boot / OpenJDK 17,MongoDB 4.4,0,None,,,
app-27,Treasury Management,S. Patel (Data & Analytics),1,45,IIS 10 / ASP.NET Core 6; Microsoft SharePoint 2016; Windows Service / .NET Framework 4.7.2,SQL Server 2016,0,SOX,,,
app-28,Analytics Sandbox,L. Andersson (Corporate IT),4,25,Apache HTTPD 2.4 / PHP 7.4; Apache Tomcat 9 / OpenJDK 11,,0,None,,,
app-29,Print & Output Management,L. Andersson (Corporate IT),4,500,IIS 10 / .NET Framework 4.8,,0,None,,,
app-30,API Gateway (Kong),A. Okafor (Retail Platforms),1,,NGINX 1.20 / Node.js 18; RabbitMQ 3.9; Spring Boot / OpenJDK 17,,1,None,,,
app-31,Core IT Infrastructure Services,L. Andersson (Corporate IT),1,,Active Directory; DNS/DHCP; Veeam; ELK; Zabbix; WSUS; PKI,,0,None,,,
